Site,File,Deployment,Type,DateTime,Guild,Species,Count,Position,Tide,Foraging,Handling,sunrise,sunset,sintime,costime
BRAD,20220526_BRAD_R_00605.JPG,20220526_BRAD_R,Reference,2022-05-14T00:19:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999998596510464,-5.298092933750337e-4
BRAD,20220526_BRAD_R_00606.JPG,20220526_BRAD_R,Reference,2022-05-14T00:20:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9999886317560384,0.004768265794432028
BRAD,20220526_BRAD_R_00607.JPG,20220526_BRAD_R,Reference,2022-05-14T00:21:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.999949334454432,0.010066207038327054
BRAD,20220526_BRAD_R_00608.JPG,20220526_BRAD_R,Reference,2022-05-14T00:22:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.999881968849292,0.015363865726550772
BRAD,20220526_BRAD_R_00609.JPG,20220526_BRAD_R,Reference,2022-05-14T00:23:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9997865368315523,0.020661093155277827
BRAD,20220526_BRAD_R_00610.JPG,20220526_BRAD_R,Reference,2022-05-14T00:24:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9996630410799635,0.025957740632788204
BRAD,20220526_BRAD_R_00611.JPG,20220526_BRAD_R,Reference,2022-05-14T00:25:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9995114850610176,0.0312536594836383
BRAD,20220526_BRAD_R_00612.JPG,20220526_BRAD_R,Reference,2022-05-14T00:26:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9993318730288503,0.03654870105283951
BRAD,20220526_BRAD_R_00613.JPG,20220526_BRAD_R,Reference,2022-05-14T00:27:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9991242100251221,0.0418427167100283
BRAD,20220526_BRAD_R_00614.JPG,20220526_BRAD_R,Reference,2022-05-14T00:28:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9988885018788767,0.04713555785363555
BRAD,20220526_BRAD_R_00615.JPG,20220526_BRAD_R,Reference,2022-05-14T00:29:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9986247552063768,0.05242707591506394
BRAD,20220526_BRAD_R_00616.JPG,20220526_BRAD_R,Reference,2022-05-14T00:30:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9983329774109195,0.057717122362851155
BRAD,20220526_BRAD_R_00617.JPG,20220526_BRAD_R,Reference,2022-05-14T00:31:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9980131766826273,0.06300554870684624
BRAD,20220526_BRAD_R_00620.JPG,20220526_BRAD_R,Reference,2022-05-14T00:34:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9968857305993754,0.07885962292168085
BRAD,20220526_BRAD_R_00621.JPG,20220526_BRAD_R,Reference,2022-05-14T00:35:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9964539357689792,0.08414008492098742
BRAD,20220526_BRAD_R_00622.JPG,20220526_BRAD_R,Reference,2022-05-14T00:36:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9959862711023612,0.08950613261455334
BRAD,20220526_BRAD_R_00623.JPG,20220526_BRAD_R,Reference,2022-05-14T00:37:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.995506448447711,0.09469377539746181
BRAD,20220526_BRAD_R_00624.JPG,20220526_BRAD_R,Reference,2022-05-14T00:38:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.994990782552548,0.0999667076354328
BRAD,20220526_BRAD_R_00625.JPG,20220526_BRAD_R,Reference,2022-05-14T00:39:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.994447187539043,0.10523683383534206
BRAD,20220526_BRAD_R_00626.JPG,20220526_BRAD_R,Reference,2022-05-14T00:40:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9938756786657592,0.1105040060661901
BRAD,20220526_BRAD_R_00627.JPG,20220526_BRAD_R,Reference,2022-05-14T00:41:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9932762719747935,0.11576807647990067
BRAD,20220526_BRAD_R_00628.JPG,20220526_BRAD_R,Reference,2022-05-14T00:42:00Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-14T05:58:00Z,2022-05-14T20:05:02Z,-0.9926489842913275,0.12102889731545856
BRAD,20220526_BRAD_R_03061.JPG,20220526_BRAD_R,Reference,2022-05-15T17:13:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8021968691060896,-0.5970596144409597
BRAD,20220526_BRAD_R_03062.JPG,20220526_BRAD_R,Reference,2022-05-15T17:14:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8044014754598704,-0.594086076488907
BRAD,20220526_BRAD_R_03063.JPG,20220526_BRAD_R,Reference,2022-05-15T17:15:02Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8066315259148764,-0.591054634869094
BRAD,20220526_BRAD_R_03064.JPG,20220526_BRAD_R,Reference,2022-05-15T17:16:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8087775918594405,-0.5881146205511679
BRAD,20220526_BRAD_R_03065.JPG,20220526_BRAD_R,Reference,2022-05-15T17:17:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8109490419427328,-0.5851167843876673
BRAD,20220526_BRAD_R_03066.JPG,20220526_BRAD_R,Reference,2022-05-15T17:18:02Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.813145291553793,-0.5820607655768398
BRAD,20220526_BRAD_R_03067.JPG,20220526_BRAD_R,Reference,2022-05-15T17:19:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8152585771083375,-0.5790971010558497
BRAD,20220526_BRAD_R_03068.JPG,20220526_BRAD_R,Reference,2022-05-15T17:20:02Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.8174321420986815,-0.5760249066350872
BRAD,20220526_BRAD_R_03142.JPG,20220526_BRAD_R,Reference,2022-05-15T18:34:02Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-15T05:57:10Z,2022-05-15T20:05:52Z,-0.9427763045039905,-0.3334259133087873
BRAD,20220526_BRAD_R_03734.JPG,20220526_BRAD_R,Reference,2022-05-16T04:26:01Z,Mesomammal,Raccoon,1,Mudflat,Low,FALSE,FALSE,2022-05-16T05:56:23Z,2022-05-16T20:06:42Z,0.8863242227061389,0.46306519221850256
BRAD,20220526_BRAD_R_04252.JPG,20220526_BRAD_R,Reference,2022-05-16T13:02:01Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Mid,FALSE,FALSE,2022-05-16T05:56:23Z,2022-05-16T20:06:42Z,-0.0017241865756529406,-0.9999985135892214
BRAD,20220526_BRAD_R_05364.JPG,20220526_BRAD_R,Reference,2022-05-17T07:32:00Z,Wading Bird,Yellow-crowned Night Heron,1,Mudflat,Low,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,0.9374991819085663,-0.34798747667232083
BRAD,20220526_BRAD_R_05477.JPG,20220526_BRAD_R,Reference,2022-05-17T09:25:01Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,0.7163884251864582,-0.6977016728221787
BRAD,20220526_BRAD_R_05765.JPG,20220526_BRAD_R,Reference,2022-05-17T14:13:01Z,Wading Bird,Great Egret,1,Mudflat,Mid,FALSE,FALSE,2022-05-17T05:55:37Z,2022-05-17T20:07:32Z,-0.26039195804335435,-0.9655029923238705
